Maskaheros argenteus
Megalops atlanticus
Melanocharacidium auroradiatum
Melanocharacidium compressus
Melanocharacidium dispilomma
Melanocharacidium melanopteron
Melanocharacidium nigrum
Menars abrilii
Mesoheros festae
Microcanthus strigatus
Microchromis zebroides
Microphis brachyurus
Misgurnus anguillicaudatus
Misgurnus fossilis
Mochokiella paynei
Mogurnda mogurnda
Mogurnda wapoga
Mola mola
Monacanthus chinensis
Monocentris japonica
Monodactylus kottelati
Monopterus albus
Moringua microchir
Muraena helena
Mylochromis lateristriga
Mylochromis melanotaenia
Mylossoma aureum
Myrichthys maculosus
Myripristis aulacodes
Myripristis botche
Myripristis chryseres
Myripristis hexagona
Myripristis kuntee
Myripristis robusta
Myripristis trachyacron
Myripristis vittata
Mystacoleucus marginatus
Mystacoleucus obtusirostris
Myxocyprinus asiaticus
Nannocampus weberi
Nannopetersius lamberti
Nanocheirodon insignis
Naucrates ductor
Nectamia bandanensis
Neoceratodus forsteri
Neodontobutis aurarmus
Neogobius fluviatilis
Neogobius melanostomus
Neoheterandria elegans
Neohomaloptera johorensis
Neoniphon sammara
Neopomacentrus azysron
Neopomacentrus nemurus
Neopomacentrus violascens
Neovespicula depressifrons
Notopterus notopterus
Notropis chlorocephalus
Notropis chrosomus
Notropis lutipinnis
Novaculichthys taeniourus
Novaculoides macrolepidotus
Oblada melanura
Odontocharacidium aphanes
Oligolepis acutipennis
Ophthalmotilapia nasuta
Ophthalmotilapia ventralis
Oplopomus oplopomus
Opsariichthys bidens
Opsodoras stuebelii
Orthrias brandtii
Oscura heterospila
Ossancora punctata
Osteochilus spilurus
Osteochilus waandersii
Oxycheilinus bimaculatus
Oxycheilinus celebicus
Oxycheilinus digramma
Oxydoras niger
Oxyeleotris lineolata
Oxyeleotris urophthalmus
Oxygaster anomalura
Oxymetopon cyanoctenosum
Oxynoemacheilus angorae
Oxyropsis acutirostris
Paedocypris micromegethes
Paedocypris progenica
Pagellus bogaraveo
Panaqolus changae
Panaqolus maccus
Pandaka pygmaea
Pao leiurus
Paracentropyge multifasciata
Parachaetodon ocellatus
Parachanna africana
Parachela oxygastroides
Parachela williaminae
Paracrossochilus vittatus
Paracyprichromis brieni
Paracyprichromis nigripinnis
Paragobiodon echinocephalus
Paragobiodon lacunicolus
Paragobiodon xanthosomus
Parailia congica
Parailia pellucida
Parajulis poecilepterus
Parakysis verrucosus
Paraluteres prionurus
Parapercis cylindrica
Parapercis hexophtalma
Parapercis multiplicata
Parapercis schauinslandii
Parapercis tetracantha
Paratilapia polleni
Paretroplus menarambo
Pareutropius buffei
Pellona castelnaeana
Pellona flavipinni
Pelmatolapia mariae
Perca fluviatilis
Percina tanasi
Periophthalmodon schlosseri
Periophthalmodon septemradiatus
Periophthalmus argentilineatus
Perissodus microlepis
Pervagor melanocephalus
Petenia splendida
Phago loricatus
Phenacostethus smithi
Pholis gunnellus
Phoxinus bigerri
Phoxinus septimaniae
Phoxocampus belcheri
Phoxocampus tetrophthalmus
Phractocephalus hemioliopterus
Phractura ansorgii
Physopyxis lyra
Plagiotremus rhinorhynchos
Plagiotremus tapeinosoma
Planiloricaria cryptodon
Platanichthys platana
Plectorhinchus albovittatus
Plectorhinchus chaetodonoides
Plectorhinchus gaterinus
Plectorhinchus gibbosus
Plectorhinchus lessonii
Plectorhinchus lineatus
Plectorhinchus pictus
Plectorhinchus vittatus
Plectroglyphidodon imparipennis
Plectroglyphidodon lacrymatus
Plectropomus areolatus
Plesiops coeruleolineatus
Plesiops corallicola
Plesiotrygon iwamae
Pleurosicya micheli
Pleurosicya mossambica
Poeciliopsis gracilis
Polycentropsis abbreviata
Polycentrus schomburgkii
Polyodon spathula
Polyprion americanus
Ponticola kessleri
Poropanchax luxopthalmus
Poropanchax normani
Poropuntius tawarensis
Priolepis cincta
Priolepis inhaca
Priolepis nocturna
Prionobrama filigera
Pristigaster cayana
Pristigaster whiteheadi
Pristobrycon maculipinnis
Pristolepis fasciata
Pristolepis grootii
Procatopus aberrans
Prochilodus nigricans
Proterorhinus semilunaris
Protopterus dolloi
Pseudalutarius nasicornis
Pseudamia amblyuroptera
Pseudanos gracilis
Pseudechidna brummeri
Pseudobalistes fuscus
Pseudocheilinops ataenia
Pseudocoris bleekeri
Pseudocoris heteroptera
Pseudocoris yamashiroi
Pseudocrenilabrus nicholsi
Pseudohemiodon apithanos
Pseudohemiodon laticeps
Pseudohomaloptera yunnanensis
Pseudojuloides cerasinus
Pseudojuloides kaleidos
Pseudojuloides mesostigma
Pseudojuloides severnsi
Pseudolaguvia austrina
Pseudolaguvia foveolata
Pseudomonacanthus macrurus
Pseudomystus leiacanthus
Pseudomystus rugosus
Pseudoplesiops rosae
Pseudoplesiops typus
Pseudosphromenus cupanus
Pteragogus cryptus
Pterengraulis atherinoides
Pteronotropis hypselopterus
Pterosturisoma microps
Pungitius pungitius
Pungu maclareni
Pycnochromis retrofasciatus
Qianlabeo striatus
Quassiremus  ascensionis
Quietula y-cauda
Quintana atrizona
Raja clavata
Ramnogaster arcuata
Ramnogaster melanostoma
Rasboroides vaterifloris
Rasbosoma spilocerca
Redigobius balteatus
Rhadinocentrus ornatus
Rhamphichthys rostratus
Rhinosardinia amazonica
Rhynchostracion nasus
Rondonacara hoehnei
Rutilus rutilus
Salaria fluviatilis
Salaria pavo
Salmo cettii
Salvelinus fontinalis
Salvelinus umbla
Sandelia bainsii
Sandelia capensis
Sander lucioperca
Sardina pilchardus
Sardinella aurita
Sargocentron caudimaculatum
Sargocentron cornutum
Sargocentron diadema
Sargocentron iota
Sargocentron praslin
Sargocentron spiniferum
Sarpa salpa
Sawbwa resplendens
Scardinius erythrophthalmus
Scarus dimidiatus
Scarus ghobban
Scarus niger
Scarus quoyi
Scarus rivulatus
Scarus rubroviolaceus
Scarus scaber
Scarus taeniopterus
Schilbe intermedius
Schismatogobius ampluvinculus
Schuettea scalaripinnis
Schuettea woodwardi
Scleropages formosus
Scleropages inscriptus
Scomber scombrus
Scopaeocharax atopodus
Scorpaena scrofa
Scuticaria tigrina
Selene vomer
Selenotoca multifasciata
Semaprochilodus taeniurus
Seriolina nigrofasciata
Serranus Cabrilla
Serranus tabacarius
Sicydium punctatum
Sicyopus jonklaasi
Silurichtys marmoratus
Silurus glanis
Sinorhodeus microlepis
Skiffia bilineata
Skiffia francesae
Solea solea
Solenostomus paradoxus
Sorubim elongatus
Sorubim lima
Sphoeroides testudineus
Sphyraena acutipinnis
Sphyraena barracuda
Sphyraena flavicauda
Sphyraena helleri
Sphyraena novaehollandiae
Sphyraena obtusata
Spicara maena
Squaliforma emarginata
Squaliforma villarsi
Squalius cephalus
Stauroglanis gouldingi
Steatogenys Elegans
Stenogobius ingeri
Stenogobius polyzona
Stethojulis albovittata
Stethojulis bandanensis
Stictorhinus potamius
Stolothrissa tanganicae
Stomatepia pindu
Symphodus mediterraneus
Symphodus roissali
Symphorichthys spilurus
Symphorus nematophorus
Synaptolaemus latofasciatus
Syngnathoides biaculeatus
Synodus binotatus
Synodus dermatogenys
Synodus indicus
Synodus jaculum
Synodus variegatus
Systomus sarana
Taenianotus triacanthus
Taeniolethrinops praeorbitalis
Tahuantinsuyoa macantzatza
Tanakia himantegus
Tateurndina ocellicauda
Teleocichla centrarchus
Teleocichla proselytus
Teleogramma brichardi
Terelabrus rubrovittatus
Terranatos dolichopterus
Tetrosomus gibbosus
Thoracochromis brauschi
Thunnus alalunga
Thunnus albacares
Thunnus maccoyii
Thunnus obesus
Tinca tinca
Trachinotus ovatus
Trachinus draco
Trachyrhamphus bicoarctatus
Trachyrhamphus longirostris
Transancistrus aequinoctialis
Trematocara marginatum
Trichromis salvini
Triglachromis otostigma
Trinectes maculatus
Triplophysa stoliczkai
Triportheus angulatus
Trochilocharax ornatus
Tyttocharax Madeirae
Tyttocharax tambopatensis
Umbra krameri
Umbra limi
Upeneus taeniopterus
Upeneus tragula
Vaillantella maassi
Valencia hispanica
Vanmanenia pingchowensis
Variabilichromis moorii
Variola albimarginata
Variola louti
Vimba vimba
Wajpamheros nourissati
Wallaciia virgatula
Wallago leerii
Wetmorella albofasciata
Wetmorella nigropinnata
Wheelerigobius wirtzi
Xenentodon cancila
Xenojulis margaritaceus
Xiphasia setifer
Yaoshania pachychilus
Yarica hyalosoma
Yirrkala tenuis
Yongeichthys criniger
Yunnanilus brevis
Yunnanilus cruciatus
Zingel asper
Zingel balcanicus
Zingel streber
